id,title,description,link,image_link,price,availability,item_group_id
8,Paket IDC LYD 2S,Paket lengkap dengan ID card dua sisi dan lanyard yang sesuai.,https://tidurlah.com/product/paket-idc-lyd-2s,https://tidurlah.com/product-image/paket-idc-2s.webp,25000 IDR,in stock,
9,Paket IDC LYD Kulit,"Paket premium dengan ID card, case kulit, dan lanyard yang sesuai.",https://tidurlah.com/product/paket-idc-lyd-kulit,https://tidurlah.com/product-image/paket-idc-case-kulit.webp,30000 IDR,in stock,
10,Paket IDC LYD Premium,"Paket deluxe dengan ID card dua sisi, case premium, dan lanyard custom.",https://tidurlah.com/product/paket-idc-lyd-premium,https://tidurlah.com/product-image/paket-idc-lyd-premium.webp,30000 IDR,in stock,
7,Paket IDC LYD 1S,Paket lengkap dengan ID card satu sisi dan lanyard yang sesuai.,https://tidurlah.com/product/paket-idc-lyd-1s,https://tidurlah.com/product-image/paket-idc-1s.webp,20000 IDR,in stock,
3,IDC Tali & Case Kulit,ID card premium dengan case kulit dan tali lanyard.,https://tidurlah.com/product/idc-tali-case-kulit,https://tidurlah.com/product-image/case-tali-kulit.webp,30000 IDR,in stock,
2,ID Card 2S,ID card dua sisi dengan bahan premium berkualitas.,https://tidurlah.com/product/id-card-2s,https://tidurlah.com/product-image/ID Card 2S.webp,10000 IDR,in stock,
1,ID Card 1S,ID card satu sisi dengan bahan premium berkualitas.,https://tidurlah.com/product/id-card-1s,https://tidurlah.com/product-image/ID Card 1S.webp,9000 IDR,in stock,
4,Lanyard Saja 1S,Lanyard cetak satu sisi tanpa ID card atau case.,https://tidurlah.com/product/lanyard-saja-1s,https://tidurlah.com/product-image/lanyard-only-1S.webp,15000 IDR,in stock,
5,Lanyard Saja 2S,Lanyard cetak dua sisi tanpa ID card atau case.,https://tidurlah.com/product/lanyard-saja-2s,https://tidurlah.com/product-image/lanyard-only-2S.webp,17000 IDR,in stock,
6,IDC Tali Biasa,ID card standar dengan lanyard biasa.,https://tidurlah.com/product/idc-tali-biasa,https://tidurlah.com/product-image/IDC Tali Biasa.webp,13000 IDR,in stock,
